model,metric,mean_loss,rank_mean_loss,mcs_included,mcs_pvalue,n_dates,alpha,bootstrap,block_size,algorithm,status
HAR_Q,QLIKE,0.015519668348133564,15,False,0.001,234,0.05,10000,2,SQ,ok
GNNHAR2L_M_IV,QLIKE,0.015550500713288784,16,False,0.0002,234,0.05,10000,2,SQ,ok
GNNHAR1L_M_IV,QLIKE,0.015558711253106594,17,False,0.0004,234,0.05,10000,2,SQ,ok
GHAR_M,QLIKE,0.015699755400419235,18,False,0.0002,234,0.05,10000,2,SQ,ok
GNNHAR3L_M_IV,QLIKE,0.015717150643467903,19,False,0.0002,234,0.05,10000,2,SQ,ok
HAR_M,QLIKE,0.01578652486205101,20,False,0.0002,234,0.05,10000,2,SQ,ok
GNNHAR4L_M_IV,QLIKE,0.015861203894019127,21,False,0.0002,234,0.05,10000,2,SQ,ok
GNNHAR1L_M,QLIKE,0.015927555039525032,22,False,0.0002,234,0.05,10000,2,SQ,ok
GNNHAR2L_M,QLIKE,0.015978438779711723,23,False,0.0002,234,0.05,10000,2,SQ,ok
GNNHAR3L_Q,QLIKE,0.0159845519810915,24,False,0.0002,234,0.05,10000,2,SQ,ok
GNNHAR3L_M,QLIKE,0.016004305332899094,25,False,0.0002,234,0.05,10000,2,SQ,ok
GNNHAR4L_M,QLIKE,0.016017844900488853,26,False,0.0002,234,0.05,10000,2,SQ,ok
GNNHAR2L_Q,QLIKE,0.016062505543231964,27,False,0.0002,234,0.05,10000,2,SQ,ok
GNNHAR5L_M,QLIKE,0.016398154199123383,28,False,0.0001,234,0.05,10000,2,SQ,ok
